Conference,TopicID,Word,Month,Probability
tourism,0,harriet,Jan,0.024536612
tourism,0,harriet,Feb,0.022128697
tourism,0,harriet,Mar,0.0
tourism,0,harriet,Apr,0.0
tourism,0,harriet,May,0.027755592
tourism,0,harriet,Jun,0.021303978
tourism,0,harriet,Jul,0.024692234
tourism,0,harriet,Aug,0.0
tourism,0,harriet,Sep,0.02459941
tourism,0,harriet,Oct,0.022883259
tourism,0,harriet,Nov,0.0
tourism,0,harriet,Dec,0.0
tourism,0,pulkam,Jan,0.027165363
tourism,0,pulkam,Feb,0.024820622
tourism,0,pulkam,Mar,0.0
tourism,0,pulkam,Apr,0.0
tourism,0,pulkam,May,0.03256258
tourism,0,pulkam,Jun,0.02346957
tourism,0,pulkam,Jul,0.025398912
tourism,0,pulkam,Aug,0.0
tourism,0,pulkam,Sep,0.027311774
tourism,0,pulkam,Oct,0.025763549
tourism,0,pulkam,Nov,0.026560929
tourism,0,pulkam,Dec,0.0
tourism,0,risk,Jan,0.0
tourism,0,risk,Feb,0.0
tourism,0,risk,Mar,0.0
tourism,0,risk,Apr,0.0
tourism,0,risk,May,0.0
tourism,0,risk,Jun,0.0
tourism,0,risk,Jul,0.0
tourism,0,risk,Aug,0.02587559
tourism,0,risk,Sep,0.0
tourism,0,risk,Oct,0.0
tourism,0,risk,Nov,0.0
tourism,0,risk,Dec,0.0
tourism,1,peine,Jan,0.0
tourism,1,peine,Feb,0.0
tourism,1,peine,Mar,0.0
tourism,1,peine,Apr,0.0
tourism,1,peine,May,0.0
tourism,1,peine,Jun,0.0
tourism,1,peine,Jul,0.013948049
tourism,1,peine,Aug,0.013828482
tourism,1,peine,Sep,0.01661729
tourism,1,peine,Oct,0.013328883
tourism,1,peine,Nov,0.0
tourism,1,peine,Dec,0.0
tourism,1,rapprocha,Jan,0.10956937
tourism,1,rapprocha,Feb,0.11975371
tourism,1,rapprocha,Mar,0.110821225
tourism,1,rapprocha,Apr,0.10678384
tourism,1,rapprocha,May,0.10127458
tourism,1,rapprocha,Jun,0.10502697
tourism,1,rapprocha,Jul,0.097390935
tourism,1,rapprocha,Aug,0.109424405
tourism,1,rapprocha,Sep,0.08830641
tourism,1,rapprocha,Oct,0.09224849
tourism,1,rapprocha,Nov,0.09717219
tourism,1,rapprocha,Dec,0.10125666
tourism,1,yellow,Jan,0.03935598
tourism,1,yellow,Feb,0.039117254
tourism,1,yellow,Mar,0.054991804
tourism,1,yellow,Apr,0.04031898
tourism,1,yellow,May,0.033687536
tourism,1,yellow,Jun,0.04456154
tourism,1,yellow,Jul,0.05151728
tourism,1,yellow,Aug,0.059191026
tourism,1,yellow,Sep,0.05206662
tourism,1,yellow,Oct,0.050808724
tourism,1,yellow,Nov,0.05067828
tourism,1,yellow,Dec,0.04176
tourism,1,dynasty,Jan,0.009925473
tourism,1,dynasty,Feb,0.0095152585
tourism,1,dynasty,Mar,0.0
tourism,1,dynasty,Apr,0.0
tourism,1,dynasty,May,0.0
tourism,1,dynasty,Jun,0.0
tourism,1,dynasty,Jul,0.0
tourism,1,dynasty,Aug,0.0
tourism,1,dynasty,Sep,0.013691346
tourism,1,dynasty,Oct,0.0
tourism,1,dynasty,Nov,0.0
tourism,1,dynasty,Dec,0.0
tourism,1,titig,Jan,0.010654674
tourism,1,titig,Feb,0.010280361
tourism,1,titig,Mar,0.0
tourism,1,titig,Apr,0.013310857
tourism,1,titig,May,0.012467296
tourism,1,titig,Jun,0.0
tourism,1,titig,Jul,0.0
tourism,1,titig,Aug,0.0
tourism,1,titig,Sep,0.0
tourism,1,titig,Oct,0.0
tourism,1,titig,Nov,0.013617636
tourism,1,titig,Dec,0.0
tourism,1,chansoo,Jan,0.0
tourism,1,chansoo,Feb,0.010196128
tourism,1,chansoo,Mar,0.0
tourism,1,chansoo,Apr,0.0
tourism,1,chansoo,May,0.0
tourism,1,chansoo,Jun,0.0
tourism,1,chansoo,Jul,0.0
tourism,1,chansoo,Aug,0.0
tourism,1,chansoo,Sep,0.0
tourism,1,chansoo,Oct,0.0
tourism,1,chansoo,Nov,0.0
tourism,1,chansoo,Dec,0.0
tourism,1,buddy,Jan,0.012285332
tourism,1,buddy,Feb,0.012005442
tourism,1,buddy,Mar,0.0
tourism,1,buddy,Apr,0.0
tourism,1,buddy,May,0.0127191935
tourism,1,buddy,Jun,0.014732996
tourism,1,buddy,Jul,0.0
tourism,1,buddy,Aug,0.0
tourism,1,buddy,Sep,0.0
tourism,1,buddy,Oct,0.01636088
tourism,1,buddy,Nov,0.013419683
tourism,1,buddy,Dec,0.0
tourism,1,entretien,Jan,0.016374579
tourism,1,entretien,Feb,0.019995498
tourism,1,entretien,Mar,0.022668842
tourism,1,entretien,Apr,0.017241191
tourism,1,entretien,May,0.014873393
tourism,1,entretien,Jun,0.02027351
tourism,1,entretien,Jul,0.018351564
tourism,1,entretien,Aug,0.026496137
tourism,1,entretien,Sep,0.023603927
tourism,1,entretien,Oct,0.019173777
tourism,1,entretien,Nov,0.020162918
tourism,1,entretien,Dec,0.021083318
tourism,1,relax,Jan,0.010278876
tourism,1,relax,Feb,0.0
tourism,1,relax,Mar,0.0
tourism,1,relax,Apr,0.0
tourism,1,relax,May,0.0
tourism,1,relax,Jun,0.0
tourism,1,relax,Jul,0.0
tourism,1,relax,Aug,0.0
tourism,1,relax,Sep,0.0
tourism,1,relax,Oct,0.0
tourism,1,relax,Nov,0.0
tourism,1,relax,Dec,0.0
tourism,1,ciudades,Jan,0.01830731
tourism,1,ciudades,Feb,0.016376154
tourism,1,ciudades,Mar,0.02337087
