0.00000000000000e+000 1.000e+000
-3.89941633174680e+005   inf
-3.81969529434173e+005 2.044e-002
-3.81984725332780e+005 1.000e+000
-3.81745678315463e+005 6.258e-004
-3.81288249186305e+005 1.198e-003
-3.80913978061940e+005 9.816e-004
-3.81354845550478e+005 1.157e-003
-3.81624770353660e+005 7.078e-004
-3.80940556350712e+005 1.793e-003
-3.80543815058131e+005 1.041e-003
-3.80562868974905e+005 1.000e+000
-3.80555710473273e+005 1.000e+000
-3.80335370272392e+005 5.790e-004
-3.80561649376298e+005 5.949e-004
-3.80707716798773e+005 3.838e-004
-3.80507782580099e+005 5.252e-004
-3.80368686373492e+005 3.656e-004
-3.80176811350659e+005 5.044e-004
-3.79940613990875e+005 6.213e-004
-3.80062845245122e+005 3.217e-004
